NGC DESIGNATION,OTHER NAME(S),R.A.   ,DEC.  ,Distance
NGC205,M110,00 40.4,+41 41,2.7000000
NGC206,Great Star Cloud in Andromeda Galaxy,00 40.5,+40 44,2.52000000
NGC221,M32,00 42.7,+40 52,2.6000000
NGC224,M31 ANDROMEDA GALAXY,00 42.7,+41 16,2.52000000
NGC404,MIRACH'S GHOST,01 09.4,+35 43,11000000
NGC891,UGC 1831/The Silver Sliver Galaxy        ,02 22.6,+42 21,32000000
NGC7662,Blue Snowball,23 25.9,+42 32,2000
NGC6709,OCL  100          ,18 51.5,+10 20,3505
NGC6755,OCL   96          ,19 07.8,+04 16,4635
NGC6756,OCL   99          ,19 08.7,+04 42,4915
NGC6781,"GHOST OF THE MOON, The Snowglobe/HORSESHOE/EAGLE'S NEST",19 18.5,+06 32,2500
NGC6804,SNOWBALL NEBULA,19 31.6,+09 14,4200
NGC6981,M72,20 53.5,-12 32,53000
NGC7009,SATURN NEBULA,21 04.2,-11 22,4000
NGC7089,M2,21 33.5,-00 49,37.5000
NGC7293,The Helix Nebula/The Sunflower Nebula,22 29.6,-20 50,700
NGC7606,MCG - 2-59- 12    ,23 19.1,-08 29,103000000
NGC772,FIDDLEHEAD GALAXY,01 59.3,+19 00,105000000
NGC877,UGC 1768         ,02 18.0,+14 33,162000000
NGC972,UGC 2045         ,02 34.2,+29 19,59000000
NGC1664,OCL  411          ,04 51.1,+43 41,3910
NGC1778,OCL  429          ,05 08.1,+37 01,5450
NGC1798,OCL  410          ,05 11.7,+47 42,11.6000
NGC1857,OCL  428          ,05 20.1,+39 21,18.7000
NGCIC410,1893,05 22.7,+33 25,11000
NGC1893,IC 410           ,05 22.8,+33 25,11000
NGC1883,OCL  417          ,05 25.9,+46 29,15.6000
NGC1907,OCL  434          ,05 28.1,+35 20,4500
NGC1912,M38,05 28.7,+35 51,3420
NGC1931,THE FLY,05 31.4,+34 15,7000
NGC1960,M36,05 36.3,+34 08,4100
NGC2099,M37/Salt & Pepper Cluster,05 52.3,+32 33,4500
NGCIC2149,PK166+10.1       ,05 56.4,+46 06,3600
NGC2126,OCL  418          ,06 02.6,+49 52,3950
NGC2192,OCL  437          ,06 15.3,+39 51,8150
NGC2281,THE BROKEN HEART CLUSTER,06 48.3,+41 05,1819
NGC5248,UGC 8616         ,13 37.5,+08 53,75000000
NGC5466,,14 05.5,+28 32,52000
NGC5676,UGC 9366         ,14 32.8,+49 27,113000000
NGC5689,UGC 9399         ,14 35.5,+48 44,116000000
NGC1501,"OYSTER NEBULA, The Camel's Eye",04 07.0,+60 55,4900
NGC1502,JOLLY ROGER CLUSTER/GOLDEN HARP CLUSTER,04 07.8,+62 20,2680
NGC2146,"3C120,DUSTY HAND GALAXY          ",06 18.6,+78 21,39000000
NGC2268,UGC 3653         ,07 14.3,+84 23,98000000
NGC2336,UGC 3809         ,07 27.1,+80 11,98000000
NGC2403,UGC 3918         ,07 36.8,+65 36,11000000
NGC2655,UGC 4637         ,08 55.6,+78 13,63000000
NGCIC3568,"THEORITICIAN'S NEBULA,Lemon Slice Neb.,Baby Eskimo",12 33.1,+82 34,9000
NGC7099,M30 JELLYFISH CLUSTER,21 40.4,-23 11,29.4000
NGCIC10,UGC 192         ,00 20.4,+59 18,2.8000000
NGC147,UGC 326;D3      ,00 33.2,+48 30,2.4000000
NGC185,UGC 396         ,00 39.0,+48 20,2.0000000
NGC189,OCL  301          ,00 39.6,+61 06,3500
NGC225,SAILBOAT CLUSTER,00 43.6,+61 46,2143
NGC278,UGC 528         ,00 52.1,+47 33,26000000
NGC281,"IC  11, PacMan Nebula w/OC IC1590     ",00 53.0,+56 37,10000
NGC381,OCL  317          ,01 08.3,+61 35,3100
NGC436,OCL  320          ,01 16.0,+58 49,7900
NGC457,OWL Cluster/ET Cluster,01 19.5,+58 17,7922
NGC581,M103,01 33.4,+60 39,9500
NGCTrumpler1,Collinder  15            ,01 35.7,+61 17,8350
NGC637,OCL  329          ,01 43.1,+64 02,7045
NGC654,FUZZY BUTTERFLY,01 44.0,+61 53,9400
NGC659,OCL  332          ,01 44.4,+60 40,7430
NGC663,OCL  333/Lawnmower cluster       ,01 46.3,+61 13,2600
NGC743,OCL  343          ,01 58.5,+60 10,???
NGCIC1805,The Heart Nebula/The Running Dog Nebula/Valentine Nebula,02 32.7,+61 27,6150
NGC7654,M52 THE SCORPION CLUSTER,23 24.9,+61 36,4500
NGC7789,Ghost cluster/Star Mist cluster/Caroline's cluster,23 57.5,+56 43,7600
NGC7790,THE WIDOW'S WEB CLUSTER,23 58.4,+61 13,9600
NGC5102,IOTA'S GHOST,13 22.0,-36 38,12000000
NGC40,"Bow Tie Nebula, The Scarab Nebula",00 13.0,+72 31,3700
NGC188,POLARISSIMA CLUSTER,00 47.5,+85 14,5400
NGC6939,GHOST BUSH CLUSTER/FLYING GEESE CLUSTER,20 31.5,+60 40,3870
NGC6946,"UGC 11597(actually in Cygnus, but forms pair with 6939)     ",20 34.9,+60 09,20000000
NGC7160,THE BRUCE LEE CLUSTER,21 53.7,+62 36,2580
NGCBerkeley94,                  ,22 22.9,+55 53,8600
NGC7380,OCL  244          ,22 47.4,+58 08,7200
NGCKing10,                  ,22 55.0,+59 10,11000
NGC7423,Berkeley   57          ,22 55.1,+57 06,13.5000
NGC7510,THE DORMOUSE CLUSTER/The Arrowhead cluster,23 11.1,+60 34,6770
NGC7762,OCL  280          ,23 49.9,+68 01,2425
NGC157,MCG - 2- 2- 56    ,00 34.8,-08 24,70000000
NGC246,SKULL NEBULA/The Soap Bubble Nebula/VOODOO MASK,00 47.1,-11 52,2100
NGC247,ESO 540-22        ,00 47.1,-20 46,8.1000000
NGC578,ESO 476-15        ,01 30.5,-22 40,70000000
NGC584,LITTLE SPINDLE GALAXY,01 31.3,-06 52,76000000
NGC864,UGC 1736         ,02 15.5,+06 00,58000000
NGC908,ESO 545-11        ,02 23.1,-21 14,60000000
NGC955,UGC 1986         ,02 30.6,-01 07,56000000
NGC1068,M77,02 42.7,-00 01,45000000
NGC1087,UGC 2245         ,02 46.4,-00 30,58000000
NGC2204,OCL  572          ,06 15.5,-18 40,8580
NGC2207,ESO 556- 8        ,06 16.4,-21 22,81000000
NGCIC2163,colliding w/2207,06 16.5,-21 23,81000000
NGC2217,ESO 489-42        ,06 21.7,-27 14,77000000
NGC2287,M41 LITTLE BEEHIVE CLUSTER,06 46.1,-20 46,2300
NGC2345,OCL  575          ,07 08.3,-13 12,7340
NGC2354,OCL  639          ,07 14.3,-25 42,13.3000
NGC2360,OCL  589          ,07 17.7,-15 38,6160
NGC2359,"LBN 1041/Thor's Helmet, The Whistle, IC468,DUCK NEB,WHISTLE NEB,HEAD & SHOULDERS NEB.",07 18.5,-13 14,15000
NGC2362,"Mexican Jumping Star Cluster/PIRATE'S JEWELS,NORTHERN JEWEL BOX,ARKENSTONE, ",07 18.7,-24 57,4800
NGC2374,OCL  585          ,07 23.9,-13 16,4790
NGC2682,M67 KING COBRA CLUSTER,08 51.3,+11 49,2800
NGC4147,,12 10.1,+18 33,63000
NGC4192,M98,12 13.8,+14 54,55000000
NGC4254,M99/St.Katherine's Wheel/COMA PINWHEEL,12 18.8,+14 25,55000000
NGC4274,UGC 7377         ,12 19.8,+29 37,54000000
NGC4278,UGC 7386         ,12 20.1,+29 17,41000000
NGC4314,UGC 7443         ,12 22.5,+29 54,55000000
NGC4321,M100 THE MIRROR GALAXY,12 22.9,+15 49,53000000
NGC4382,M85,12 25.4,+18 11,53000000
NGC4414,UGC 7539         ,12 26.5,+31 13,62000000
NGC4450,UGC 7594         ,12 28.5,+17 05,55000000
NGC4494,UGC 7662         ,12 31.4,+25 46,47000000
NGC4501,M88,12 32.0,+14 25,55000000
NGC4548,M91,12 35.4,+14 30,53000000
NGC4559,UGC 7766/KOI FISH GAL.      ,12 36.0,+27 58,30000000
NGC4565,THE NEEDLE GALAXY/FLYING SAUCER GALAXY,12 36.3,+25 59,44000000
NGC4710,UGC 7980         ,12 49.6,+15 10,55000000
NGC4725,UGC 7989 /TI-FIGHTER GAL        ,12 50.4,+25 30,42000000
NGC4826,M64 BLACK EYE GALAXY/SLEEPING BEAUTY GAL.,12 56.7,+21 41,24000000
NGC5024,M53,13 12.9,+18 10,58000
NGC5053,,13 16.5,+17 42,57000
NGC6726,ESO 396-N13       ,19 01.7,-36 53,425
NGC3511,ESO 502-13        ,11 03.4,-23 05,65000000
NGC3672,MCG - 2-29- 28    ,11 25.0,-09 48,99000000
NGC3887,MCG - 3-30- 12    ,11 47.1,-16 51,70000000
